,Unnamed: 0,Year,GDP growth (annual %),Gross capital formation (% of GDP),Population growth (annual %),"Birth rate, crude (per 1,000 people)",Broad money growth (annual %),Final consumption expenditure (annual % growth),General government final consumption expenditure (annual % growth),Gross capital formation (annual % growth),Households and NPISHs Final consumption expenditure (annual % growth),"Unemployment, total (% of total labor force) (national estimate)"
0,0,1969,14.5412349898647,29.9435768990804,2.26343403916519,30.663,60.9847325104761,10.6932488101719,10.640799332022,29.908118035422202,10.700325149933901,4.8600001335144
1,1,1970,9.99740656521107,26.338199513382,2.1841739468946697,31.2,27.4228641907322,10.161538878553099,7.27957317104054,0.0586674544734933,10.557300280601302,4.51000022888184
2,2,1971,10.4546932742055,25.5585005679667,1.9713236575204798,31.2,20.844481176945,9.33043406387293,8.610547188518009,15.172870025416902,9.42696935163427,4.57000017166138
3,3,1972,7.1507147770554,21.404760786891398,1.87599936966995,28.4,33.8150278361538,5.7884575123869,8.13482403672276,-13.056700968596198,5.4713552586912595,4.59000015258789
4,4,1973,14.8275543365582,25.8728575315136,1.7682927120788,28.3,36.4156287496918,8.08995237194739,2.28772883318192,32.0982760658976,8.92729451960032,4.03999996185303
5,5,1974,9.460873462000311,32.533407784362694,1.712705419969,26.6,24.0366520354079,7.32385340697566,7.288575886313,31.4930826086041,7.328336537664501,4.150000095367431
6,6,1975,7.863511656400259,28.9592674034517,1.68200005474822,24.8,28.2316303684103,5.7144454774896,6.96046505664856,-1.49372044887683,5.539527479016121,4.17999982833862
7,7,1976,13.115158840415198,27.555990342186302,1.59655859407233,22.2,33.4846556042679,7.18271372065252,0.560956983024028,23.0060801144492,8.254930496785361,3.8076000213623
8,8,1977,12.277661224117502,30.630713325378103,1.5590393860320801,22.7,39.7057634406556,5.70116080853434,7.468013445080531,31.486449873452802,5.40164528738015,3.8057000637054403
9,9,1978,10.7744913710061,34.532491977412896,1.5191967189167,20.3,34.9710264336979,7.924074112174821,5.5823150636313,30.8730515719351,8.340376142926461,3.16729998588562
10,10,1979,8.62563238878273,38.1325867736018,1.5168748677583501,23,24.584449015782,8.252856083874759,6.174666250480209,18.0997603723445,8.60403653466801,3.81200003623962
11,11,1980,-1.70127653007586,34.455667789001104,1.5584626781958202,22.6,26.8946449831137,1.60424112993844,11.7428065027688,-16.1086570211991,-0.0929274067275259,5.19600009918213
12,12,1981,7.18051083923589,32.445665396156,1.56020399239876,22.4,25.024951234398,5.447428277349809,6.59300072350479,2.5822055725562203,5.225406770562911,4.50699996948242
13,13,1982,8.26502126461675,32.2086720390583,1.54546853308404,21.6,27.0114139385714,6.5232646352256705,2.14092462502373,10.224685774309199,7.38352075773705,4.36299991607666
14,14,1983,13.2420634291482,32.7824948303342,1.47421882108841,19.3,15.242662352669301,8.16582936940094,3.62864531659157,14.957201964904598,9.05276306966725,4.06799983978271
15,15,1984,10.4429111120963,32.2482904248378,1.23401831140412,16.7,7.7052924540928105,7.092261620627481,4.82401266373391,9.35792838569623,7.533649836035591,3.80100011825562
16,16,1985,7.749645999338269,32.5659448232225,0.984565597108821,16.1,15.622988814672599,6.53906057873597,3.3599065694429795,7.5661105869649505,7.1469081510268895,3.98300004005432
17,17,1986,11.2240864216026,32.4221672777548,0.9947238680338101,15.4,18.4410262370503,8.44897166203727,5.24294267012402,15.198431358631598,9.072923536149391,3.8099999427795397
18,18,1987,12.467266052988501,33.0897492531502,0.985133112424576,15,19.0537837683663,8.209373500664709,7.158110414585611,15.9488729448449,8.41788839640869,3.08800005912781
19,19,1988,11.9047186107828,34.7041855054437,0.979189224150187,15.1,21.4985768212406,9.102647583228471,8.52541200347183,17.402175687114,9.21963921259497,2.5190000534057595
20,20,1989,7.029710015812009,37.096221822673996,0.9890932684583008,15.1,19.8164534355775,10.834413485710199,11.3249658871291,16.9945126845169,10.731758582580401,2.56900000572205
21,21,1990,9.81122968350864,39.615997588415105,0.9851304942187671,15.2,17.1741698553492,10.0668882493836,11.063385768768699,15.5965280253351,9.84811976375919,2.4539999961852996
22,22,1991,10.3539513551382,41.3740616517608,0.9897859818215259,16.4,21.887421314994697,8.16892475419149,5.0310569199084405,17.912040888531898,8.88106334469423,2.4070000648498504
23,23,1992,6.17550568651626,38.485198014838204,1.03916135557339,16.7,14.9415254257527,6.77723197538025,6.436622670817571,0.10613591276378999,6.85303328575793,2.5130000114440896
24,24,1993,6.846743917032139,37.4795411542482,1.01582143742509,16,16.5807350400535,6.437389324091611,4.87105211006751,6.03781399427656,6.7926635855815105,2.87800002098084
25,25,1994,9.206141515013162,38.5391289049545,1.00615724501748,16,18.6773909254307,7.95715464958555,3.35805879285789,15.1258305340486,8.973464995424349,2.4760000705719
26,26,1995,9.57060413215936,39.003294499228396,1.00620085457685,15.7,15.5931841953706,9.27991080573408,3.3877722840997704,10.722656355308802,10.511082432246198,2.06299996376038
27,27,1996,7.5945090893005,39.6809624126659,0.9527794218527041,15,15.8277442341608,7.54560449708212,7.27954877648082,10.0799260411606,7.59953593840636,2.04800009727478
28,28,1997,5.92218546449831,37.424679045100795,0.937713808920155,14.4,14.143723683708698,3.79472859941879,2.14525414795264,-1.93981255567964,4.13416911307041,2.60800004005432
29,29,1998,-5.471219258285201,27.761895283070697,0.7218650175903101,13.6,27.0261851359618,-9.28882487999441,3.65151610239309,-29.4032545587107,-11.8943092032809,6.962999820709231
30,30,1999,11.3086214936258,30.9162955854393,0.7107945930613759,13,27.376640134169698,10.399816514646199,4.87490305262884,24.354285079481503,11.7118349093341,6.34200000762939
31,31,2000,8.92442603420267,32.9417148967403,0.836180864297766,13.3,25.4257746478018,7.57016817574137,0.881293431216122,14.527853650245302,9.051335827490051,4.40000009536743
32,32,2001,4.5253067636010496,31.559586953650197,0.7672417747602759,11.6,85.2030807974552,5.77423591139221,6.2206250783482595,1.2049589971560302,5.68009637909697,4.0
33,33,2002,7.4324336136980795,30.9395805884173,0.5779572768148421,10.2,13.9998911970542,8.284737878285169,5.60703785231593,7.297822302978701,8.88071178301961,3.29999995231628
34,34,2003,2.9332179018593596,32.014909571936805,0.518321452985646,10.2,2.98069024193587,0.24628408350383799,3.76046947969024,5.21002051957495,-0.521558964572165,3.5999999046325697
35,35,2004,4.89984045045715,32.1170741151219,0.39633143669780607,9.8,6.30831998688382,1.06009903113693,4.5286290804058495,3.8406312638115603,0.253671232199764,3.70000004768372
36,36,2005,3.92367739233066,32.163064623042494,0.21199778411754802,8.9,6.98905937684345,4.44117752660749,4.5296872246827595,2.4171177694696,4.4191300443718395,3.70000004768372
37,37,2006,5.17615381826533,32.7006879321314,0.525199940498775,9.2,12.5129608596578,5.152135921948259,7.37446903037286,4.99934524504452,4.58669686834459,3.5
38,38,2007,5.46339639319318,32.579531157111894,0.505234032920336,10,10.819964531450601,5.29800296984071,6.06181957029904,4.53168192386208,5.09803338427075,3.20000004768372
39,39,2008,2.8292231734122004,33.0185038880311,0.759316681850927,9.4,11.9562036963622,2.15204323531258,5.08196166090904,-0.967181663533822,1.3728829443218002,3.20000004768372
40,40,2009,0.7075099464184399,28.4656576954675,0.514682827535803,9,9.88594854042114,1.27156811708957,5.240621666902429,-10.1432209183449,0.162872119032116,3.5999999046325697
41,41,2010,6.4967935855551096,32.0228750628306,0.49822508440110996,9.4,5.97887647571808,4.25894005558467,3.8480995715826802,17.8419509993305,4.379593155576259,3.70000004768372
42,42,2011,3.68168856910729,32.958832608853896,0.7689717585825891,9.4,5.4758619616047,2.74670867257396,2.2116395470445096,3.4785581014245404,2.90058608851371,3.4000000953674303
43,43,2012,2.29239784625679,31.001228568564102,0.525713660600414,9.6,4.8064654842376,2.2460664010334,3.37431114426192,-2.29983254734813,1.9231476610054699,3.20000004768372
44,44,2013,2.8962049350710397,29.102216845778102,0.455218622164662,8.6,4.63889133228525,2.19113000645102,3.26137688107156,-0.118665198385216,1.8820985077148202,3.0999999046325697
45,45,2014,3.34144776129996,29.276910054530696,0.628149861433639,8.6,8.14449306578048,2.04280026327928,3.04619903355336,5.26249542348134,1.7471167392641598,3.5
46,46,2015,2.79023616714657,28.918111921952,0.5272884974077929,8.6,8.190748186404742,2.38518826325611,2.98849949385338,7.297389858725211,2.20397378928577,3.5999999046325697
47,47,2016,2.9293047947000996,29.2523873391538,0.451318043969976,7.9,7.123156015731701,2.98115017329485,4.4771853433801105,5.6102137501479605,2.5257645767935095,3.70000004768372
48,48,2017,3.06276846243263,31.075651071126103,0.429345229786812,..,5.10474089994852,2.8027223585438596,3.4248368727603,10.107800612204,2.6086412265980803,3.70000004768372
